+-NEOMENTHOL-DEHYDROGENASE-RXN.c	CPD-1905|CPD-1909|NADP|NADPH|PROTON
--MENTHOL-DEHYDROGENASE-RXN.c	--MENTHOL|CPD-1909|NADP|NADPH|PROTON
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.e	ACP|ACYL-ACP|ACYL-SN-GLYCEROL-3P|L-PHOSPHATIDATE
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN.n	ADP|ATP|CPD-177|L-1-phosphatidyl-inositols
1-PHOSPHATIDYLINOSITOL-KINASE-RXN.c	ADP|ATP|CPD-1108|L-1-phosphatidyl-inositols
1.1.1.145-RXN.e	3-oxo-D5-steroids|3b-hydroxy-D5-steroids|NAD|NADH|PROTON
1.1.1.145-RXN.r	3-oxo-D5-steroids|3b-hydroxy-D5-steroids|NAD|NADH|PROTON
1.1.1.168-RXN.c	2-DEHYDROPANTOYL-LACTONE|NADP|NADPH|PANTOYL-LACTONE|PROTON
1.1.1.170-RXN.r	4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON|CARBON-DIOXIDE|CPD-5846|NAD-P-OR-NOP|NADH-P-OR-NOP
1.1.1.178-RXN.c	2-METHYL-3-HYDROXY-BUTYRYL-COA|2-METHYL-ACETO-ACETYL-COA|NAD|NADH|PROTON
1.1.1.201-RXN.c	7-Beta-Hydroxysteroids|7-Oxosteroids|NADP|NADPH|PROTON
1.1.1.211-RXN.c	3-KETOACYL-COA|L-3-HYDROXYACYL-COA|NAD|NADH
1.1.1.239-RXN.c	ANDROST4ENE|NAD|NADH|PROTON|TESTOSTERONE
1.1.1.255-RXN.c	MANNITOL|MANNOSE|NAD|NADH|PROTON
1.1.1.262-RXN.c	2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE|4-PHOSPHONOOXY-THREONINE|NAD|NADH|PROTON
1.1.1.271-RXN.c	GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE|GUANOSINE_DIPHOSPHATE_FUCOSE|NADP|NADPH|PROTON
1.1.1.285-RXN.c	CPD-7227|CPD-7228|NAD-P-OR-NOP|NADH-P-OR-NOP
1.1.1.288-RXN.c	CPD-692|CPD-7279|NAD|NADH|PROTON
1.1.1.34-RXN.e	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
1.1.1.39-RXN.c	CARBON-DIOXIDE|MAL|NAD|NADH|PYRUVATE
1.1.1.64-RXN.c	ANDROST4ENE|NADP|NADPH|PROTON|TESTOSTERONE
1.1.1.8-RXN.c	DIHYDROXY-ACETONE-PHOSPHATE|GLYCEROL-3P|NAD|NADH|PROTON
1.1.3.37-RXN.e	CPD-1789|CPD-356|HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|PROTON
1.10.2.2-RXN.e	Cytochromes-C|Cytochromes-C-Oxidized|Cytochromes-C-Reduced|Ubiquinols|Ubiquinones
1.10.2.2-RXN.m	Cytochromes-C|Cytochromes-C-Oxidized|Cytochromes-C-Reduced|Ubiquinols|Ubiquinones
1.11.1.12-RXN.c	A-LIPID-HYDROPEROXIDE|GLUTATHIONE|LIPID|OXIDIZED-GLUTATHIONE|WATER
1.11.1.15-RXN.c	Alcohols|Alkyl-Hydro-Peroxides|PROT-CYS|Protein-Disulfides|WATER
1.14.11.19-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-590|Dihydroquercetins|OXYGEN-MOLECULE|SUC|WATER
1.14.11.2-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-6321|OXYGEN-MOLECULE|PROCOLLAGEN-L-PROLINE|SUC
1.14.11.20-RXN.e	17-O-DEACETYLVINDOLINE|2-KETOGLUTARATE|CARBON-DIOXIDE|DEACETOXYVINDOLINE|OXYGEN-MOLECULE|SUC
1.14.11.9-RXN.e	2-KETOGLUTARATE|CARBON-DIOXIDE|Dihydroflavonols|FLAVANONES|OXYGEN-MOLECULE|SUC
1.14.13.36-RXN.c	4-COUMAROYLQUINATE|CAFFEOYLQUINATE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.70-RXN.c	ALPHA-METHYL-5-ALPHA-ERGOSTA|FORMATE|NADP|NADPH|OBTUSIFOLIOL|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.72-RXN.r	44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET|CPD-5847|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|WATER
