R_EX11	S_hv_ext|S_hv_p
R_EX12	S_Sucrose_c|S_Sucrose_ext
R_Ex1	S_CO2_c|S_CO2_ext
R_Ex2	S_H2O_c|S_H2O_ext
R_Ex3	S_Oxygen_c|S_Oxygen_ext
R_Ex4	S_Nitrate_c|S_Nitrate_ext
R_Ex5	S_NH3_c|S_NH3_ext
R_Ex6	S_Hydrogen_32_sulfide_c|S_Hydrogen_32_sulfide_ext
R_Ex7	S_Sulfate_c|S_Sulfate_ext
R_Ex8	S_Glucose_ext|S_alpha_45_D_45_Glucose_c
R_Ex9	S_Starch_acc|S_Starch_p
R_FA_p	S_Hexadecanoic_32_acid_acc|S_Hexadecanoic_32_acid_p
R_R00004_c	S_H2O_c|S_Orthophosphate_c|S_Pyrophosphate_c
R_R00006_c	S_2_45_Acetolactate_c|S_CO2_c|S_Pyruvate_c
R_R00009_x	S_H2O2_x|S_H2O_x|S_Oxygen_x
R_R00010_c	S_D_45_Glucose_c|S_H2O_c|S_alpha_44_alpha_45_Trehalose_c
R_R00014_c	S_2_45__40_alpha_45_Hydroxyethyl_41_thiamine_32_diphosphate_c|S_CO2_c|S_Pyruvate_c|S_Thiamin_32_diphosphate_c
R_R00014_m	S_2_45__40_alpha_45_Hydroxyethyl_41_thiamine_32_diphosphate_m|S_CO2_m|S_Pyruvate_m|S_Thiamin_32_diphosphate_m
R_R00014_p	S_2_45__40_alpha_45_Hydroxyethyl_41_thiamine_32_diphosphate_p|S_CO2_p|S_Pyruvate_p|S_Thiamin_32_diphosphate_p
R_R00021_p	S_2_45_Oxoglutarate_p|S_L_45_Glutamate_p|S_L_45_Glutamine_p|S_Oxidized_32_ferredoxin_p|S_Reduced_32_ferredoxin_p
R_R00022_c	S_Chitobiose_c|S_H2O_c|S_N_45_Acetyl_45_D_45_glucosamine_c
R_R00024_p	S_3_45_Phospho_45_D_45_glycerate_p|S_CO2_p|S_D_45_Ribulose_32_1_44_5_45_bisphosphate_p|S_H2O_p
R_R00026_c	S_Cellobiose_c|S_H2O_c|S_beta_45_D_45_Glucose_c
R_R00028_c	S_H2O_c|S_Maltose_c|S_alpha_45_D_45_Glucose_c
R_R00028_p	S_H2O_p|S_Maltose_p|S_alpha_45_D_45_Glucose_p
R_R00036_c	S_5_45_Aminolevulinate_c|S_H2O_c|S_Porphobilinogen_c
R_R00047_c	S_2_44_5_45_Dihydroxypyridine_c|S_6_45_Hydroxynicotinate_c|S_CO2_c|S_Oxygen_c
R_R00066_c	S_4_45__40_1_45_D_45_Ribitylamino_41__45_5_45_amino_45_2_44_6_45_dihydroxypyrimidine_c|S_6_44_7_45_Dimethyl_45_8_45__40_1_45_D_45_ribityl_41_lumazine_c|S_Riboflavin_c
R_R00068_c	S_Ascorbate_c|S_H2O_c|S_L_45_Dehydroascorbate_c|S_Oxygen_c
R_R00084_c	S_H2O_c|S_Hydroxymethylbilane_c|S_NH3_c|S_Porphobilinogen_c
R_R00086_c	S_ADP_c|S_ATP_c|S_H2O_c|S_Orthophosphate_c
R_R00093_p	S_2_45_Oxoglutarate_p|S_H_43__p|S_L_45_Glutamate_p|S_L_45_Glutamine_p|S_NADH_p|S_NAD_43__p
