+-BORNEOL-DEHYDROGENASE-RXN.c	CPD-1903|CPD-862|NAD|NADH|PROTON
+-NEOMENTHOL-DEHYDROGENASE-RXN.c	CPD-1905|CPD-1909|NADP|NADPH|PROTON
+-SABINOL-DEHYDROGENASE-RXN.c	-CIS-SABINOL|-SABINONE|NAD|NADH|PROTON
--BORNEOL-DEHYDROGENASE-RXN.c	--CAMPHOR|CPD-1908|NAD|NADH|PROTON
--LIMONENE-3-MONOOXYGENASE-RXN.c	CPD-263|CPD-4886|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
--LIMONENE-6-MONOOXYGENASE-RXN.c	CPD-10051|CPD-4886|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
--LIMONENE-7-MONOOXYGENASE-RXN.c	CPD-261|CPD-4886|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
--MENTHOL-DEHYDROGENASE-RXN.c	--MENTHOL|CPD-1909|NADP|NADPH|PROTON
--MENTHOL-MONOOXYGENASE-RXN.c	--MENTHOL|NADP|NADPH|OXYGEN-MOLECULE|PARA-MENTHANE-38-DIOL|PROTON|WATER
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.c	ACP|ACYL-ACP|ACYL-SN-GLYCEROL-3P|L-PHOSPHATIDATE
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.p	ACP|ACYL-ACP|ACYL-SN-GLYCEROL-3P|L-PHOSPHATIDATE
1-METHYLADENOSINE-NUCLEOSIDASE-RXN.c	1-METHYLADENOSINE|N1-METHYLADENINE|WATER
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN.c	ADP|ATP|CPD-177|L-1-phosphatidyl-inositols|PROTON
1-PHOSPHATIDYLINOSITOL-KINASE-RXN.c	ADP|ATP|CPD-1108|L-1-phosphatidyl-inositols|PROTON
1-PHOSPHATIDYLINOSITOL-KINASE-RXN.e	ADP|ATP|CPD-1108|L-1-phosphatidyl-inositols|PROTON
1-PHOSPHATIDYLINOSITOL-KINASE-RXN.g	ADP|ATP|CPD-1108|L-1-phosphatidyl-inositols|PROTON
1-PHOSPHATIDYLINOSITOL-KINASE-RXN.r	ADP|ATP|CPD-1108|L-1-phosphatidyl-inositols|PROTON
1.1.1.117-RXN.c	CPD-356|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.126-RXN.c	2-DEHYDRO-3-DEOXY-D-GLUCONATE|4S5S-45-DIHYDROXY-26-DIOXOHEXANOATE|NADP|NADPH|PROTON
1.1.1.127-RXN.c	2-DEHYDRO-3-DEOXY-D-GLUCONATE|CPD-343|NAD|NADH|PROTON
1.1.1.13-RXN.c	L-ARABITOL|L-RIBULOSE|NAD|NADH|PROTON
1.1.1.134-RXN.c	CPD-344|DTDP-DEOH-DEOXY-MANNOSE|NADP|NADPH|PROTON
1.1.1.136-RXN.c	NAD|NADH|PROTON|UDP-N-ACETYL-2-AMINO-D-GLUCURONATE|UDP-N-ACETYL-D-GLUCOSAMINE|WATER
1.1.1.141-RXN.c	5Z13E-15S-1115-DIHYDROXY-9-OXOPROS|HYDROXY-915-DIOXOPROSTA-13-ENOATE|NAD|NADH|PROTON
1.1.1.145-RXN.c	3-oxo-D5-steroids|3b-hydroxy-D5-steroids|NAD|NADH|PROTON
