+-BORNEOL-DEHYDROGENASE-RXN.c	CPD-1903|CPD-862|NAD|NADH|PROTON
+-NEOMENTHOL-DEHYDROGENASE-RXN.c	CPD-1905|CPD-1909|NADP|NADPH|PROTON
--BORNEOL-DEHYDROGENASE-RXN.c	--CAMPHOR|CPD-1908|NAD|NADH|PROTON
--LIMONENE-3-MONOOXYGENASE-RXN.c	CPD-263|CPD-4886|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
--LIMONENE-6-MONOOXYGENASE-RXN.c	CPD-10051|CPD-4886|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
--LIMONENE-7-MONOOXYGENASE-RXN.c	CPD-261|CPD-4886|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
--MENTHOL-DEHYDROGENASE-RXN.c	--MENTHOL|CPD-1909|NADP|NADPH|PROTON
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.c	ACP|ACYL-ACP|ACYL-SN-GLYCEROL-3P|L-PHOSPHATIDATE
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN.c	ADP|ATP|CPD-177|L-1-phosphatidyl-inositols|PROTON
1-PHOSPHATIDYLINOSITOL-KINASE-RXN.c	ADP|ATP|CPD-1108|L-1-phosphatidyl-inositols|PROTON
1.1.1.141-RXN.c	NAD|NADH|PROTON
1.1.1.145-RXN.c	NAD|NADH|PROTON
1.1.1.168-RXN.c	2-DEHYDROPANTOYL-LACTONE|NADP|NADPH|PANTOYL-LACTONE|PROTON
1.1.1.170-RXN.c	CARBON-DIOXIDE|NAD-P-OR-NOP|NADH-P-OR-NOP
1.1.1.178-RXN.c	2-METHYL-3-HYDROXY-BUTYRYL-COA|2-METHYL-ACETO-ACETYL-COA|NAD|NADH|PROTON
1.1.1.190-RXN.c	INDOLE_ACETALDEHYDE|NAD|NADH|PROTON
1.1.1.197-RXN.c	NADP|NADPH|PROTON
1.1.1.222-RXN.c	CPD-2222|NAD-P-OR-NOP|NADH-P-OR-NOP|P-HYDROXY-PHENYLPYRUVATE|PROTON
1.1.1.247-RXN.c	CODEINE|CODEINONE|NADP|NADPH|PROTON
1.1.1.248-RXN.c	NADP|NADPH|PROTON|SALUTARIDINE|SALUTARIDINOL
1.1.1.255-RXN.c	MANNITOL|NAD|NADH|PROTON
1.1.1.264-RXN.c	5-DEHYDROGLUCONATE|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.268-RXN.c	NAD|NADH|PROTON
1.1.1.271-RXN.c	GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE|NADP|NADPH|PROTON
1.1.1.272-RXN.c	2-Oxo-carboxylates|NADP|NADPH|PROTON
1.1.1.273-RXN.c	10-DEOXYSARPAGINE|NADP|NADPH|PROTON|VELLOSIMINE
1.1.1.278-RXN.c	3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE|CPD-293|NADP|NADPH|PROTON
1.1.1.283-RXN.c	METHYL-GLYOXAL|NADP|NADPH|PROTON
1.1.1.285-RXN.c	CPD-7227|CPD-7228|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.288-RXN.c	CPD-692|CPD-7279|NAD|NADH|PROTON
1.1.1.291-RXN.c	NAD|NADH|PROTON
1.1.1.34-RXN.c	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
1.1.1.34-RXN.r	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
1.1.1.34-RXN.v	3-HYDROXY-3-METHYL-GLUTARYL-COA|CO-A|MEVALONATE|NADP|NADPH|PROTON
1.1.1.39-RXN.c	CARBON-DIOXIDE|MAL|NAD|NADH|PYRUVATE
1.1.1.39-RXN.m	CARBON-DIOXIDE|MAL|NAD|NADH|PYRUVATE
1.1.1.43-RXN.c	CPD-2961|NAD-P-OR-NOP|NADH-P-OR-NOP|PROTON
1.1.1.53-RXN.c	NAD|NADH|PROTON
1.1.1.8-RXN.c	DIHYDROXY-ACETONE-PHOSPHATE|GLYCEROL-3P|NAD|NADH|PROTON
1.1.1.8-RXN.d	DIHYDROXY-ACETONE-PHOSPHATE|GLYCEROL-3P|NAD|NADH|PROTON
1.1.3.32-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|S-CHEILANTHIFOLINE|S-STYLOPINE|WATER
1.1.3.34-RXN.c	BERBAMUNINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|R-N-METHYLCOCLAURINE|S-N-METHYLCOCLAURINE|WATER
1.1.3.35-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|R-RETICULINE|SALUTARIDINE|WATER
1.1.3.36-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|S-TETRAHYDROBERBERINE|S-TETRAHYDROCOLUMBAMINE|WATER
1.1.3.41-RXN.c	HYDROGEN-PEROXIDE|OXYGEN-MOLECULE|XYLITOL|XYLOSE
1.10.2.2-RXN.c	Cytochromes-C-Oxidized|Cytochromes-C-Reduced|Ubiquinols|Ubiquinones
1.10.2.2-RXN.m	Cytochromes-C-Oxidized|Cytochromes-C-Reduced|Ubiquinols|Ubiquinones
1.11.1.12-RXN.c	A-LIPID-HYDROPEROXIDE|GLUTATHIONE|Lipids|OXIDIZED-GLUTATHIONE|PROTON|WATER
1.11.1.12-RXN.d	A-LIPID-HYDROPEROXIDE|GLUTATHIONE|Lipids|OXIDIZED-GLUTATHIONE|PROTON|WATER
1.11.1.12-RXN.m	A-LIPID-HYDROPEROXIDE|GLUTATHIONE|Lipids|OXIDIZED-GLUTATHIONE|PROTON|WATER
1.11.1.15-RXN.c	Alcohols|PROT-CYS|WATER
1.11.1.15-RXN.d	Alcohols|PROT-CYS|WATER
1.12.1.3-RXN.c	HYDROGEN-MOLECULE|NADP|NADPH|PROTON
1.13.11.6-RXN.c	OXYGEN-MOLECULE
1.14.11.19-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-590|Dihydroquercetins|OXYGEN-MOLECULE|SUC|WATER
1.14.11.2-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|OXYGEN-MOLECULE|SUC
1.14.11.20-RXN.c	17-O-DEACETYLVINDOLINE|2-KETOGLUTARATE|CARBON-DIOXIDE|DEACETOXYVINDOLINE|OXYGEN-MOLECULE|SUC
1.14.11.24-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|CPD-7227|CPD-7231|OXYGEN-MOLECULE|PROTON|SUC
1.14.11.9-RXN.c	2-KETOGLUTARATE|CARBON-DIOXIDE|FLAVANONES|OXYGEN-MOLECULE|SUC
1.14.13.101-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.103-RXN.c	CPD-9440|CPD-9442|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.103-RXN.r	CPD-9440|CPD-9442|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.104-RXN.c	CPD-4942|CPD-4981|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.118-RXN.c	2-METHYLPROPANAL-OXIME|CARBON-DIOXIDE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|VAL|WATER
1.14.13.36-RXN.c	4-COUMAROYLQUINATE|CAFFEOYLQUINATE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.36-RXN.r	4-COUMAROYLQUINATE|CAFFEOYLQUINATE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.42-RXN.c	CPD-1074|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.42-RXN.e	CPD-1074|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.55-RXN.c	6-HYDROXYPROTOPINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|PROTOPINE|WATER
1.14.13.56-RXN.c	10-HYDROXYDIHYDROSANGUINARINE|DIHYDROSANGUINARINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.57-RXN.c	12-HYDROXYDIHYDROCHELIRUBINE|DIHYDROCHELIRUBINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.68-RXN.c	CPD-1041|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.68-RXN.e	CPD-1041|CPD-648|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.70-RXN.c	ALPHA-METHYL-5-ALPHA-ERGOSTA|FORMATE|NADP|NADPH|OBTUSIFOLIOL|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.70-RXN.r	ALPHA-METHYL-5-ALPHA-ERGOSTA|FORMATE|NADP|NADPH|OBTUSIFOLIOL|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.71-RXN.c	3-HYDROXY-N-METHYL-S-COCLAURINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|S-N-METHYLCOCLAURINE|WATER
1.14.13.72-RXN.c	NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.73-RXN.c	16-HYDROXYTABERSONINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|TABERSONINE|WATER
1.14.13.73-RXN.r	16-HYDROXYTABERSONINE|NADP|NADPH|OXYGEN-MOLECULE|PROTON|TABERSONINE|WATER
1.14.13.74-RXN.c	7-DEOXYLOGANIN|LOGANIN|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.75-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|VINORINE|VOMILENINE|WATER
1.14.13.76-RXN.c	10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH|NADP|NADPH|OXYGEN-MOLECULE|PROTON|TAXA-42011-DIEN-5-ALPHA-YL-ACETATE|WATER
1.14.13.77-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|TAXA-42011-DIEN-5A-OL|TAXA-42011-DIEN-5A13A-DIOL|WATER
1.14.13.78-RXN.c	CPD1F-128|ENT-KAUR-16-EN-19-OL|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.79-RXN.c	CPD1F-132|CPD1F-136|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.8-RXN.c	NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.87-RXN.c	CPD-3061|LICODIONE|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|WATER
1.14.13.91-RXN.c	10-DEOXYSARPAGINE|CPD-4243|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.92-RXN.c	CPD-6501|NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.93-RXN.c	CPD-693|CPD-7234|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.94-RXN.c	NAD-P-OR-NOP|NADH-P-OR-NOP|OXYGEN-MOLECULE|PROTON|WATER
1.14.13.98-RXN.c	CHOLESTEROL|NADP|NADPH|OXYGEN-MOLECULE|PROTON|WATER
1.14.15.6-RXN.c	4-METHYLPENTANAL|CHOLESTEROL|OXYGEN-MOLECULE|Oxidized-adrenal-ferredoxins|PREGNENOLONE|Reduced-adrenal-ferredoxins|WATER
1.14.19.1-RXN.c	FERRICYTOCHROME-B5|FERROCYTOCHROME-B5|OLEOYL-COA|OXYGEN-MOLECULE|PROTON|STEAROYL-COA|WATER
1.14.19.2-RXN.c	Acceptor|Donor-H2|OXYGEN-MOLECULE|Oleoyl-ACPs|Stearoyl-ACPs|WATER
