12PPDt	12ppd-S
2DGLCNRx	2dhglcn|glcn|h|nad|nadh
2DGLCNRy	2dhglcn|glcn|h|nadp|nadph
2DGULRx	2dhguln|h|idon-L|nad|nadh
2DGULRy	2dhguln|h|idon-L|nadp|nadph
3HCINNMH	3hcinnm|dhcinnm|h|h2o|nad|nadh|o2
3HPPPNH	3hpppn|dhpppn|h|h2o|nad|nadh|o2
4HTHRS	4hthr|h|h2o|phthr|pi
5DGLCNR	5dglcn|glcn|h|nadp|nadph
A5PISO	ara5p|ru5p-D
AACPS1	ACP|amp|atp|h|myrsACP|ppi|ttdca
AACPS2	ACP|amp|atp|h|ppi|tdeACP|ttdcea
AACPS3	ACP|amp|atp|h|hdca|palmACP|ppi
AACPS4	ACP|amp|atp|h|hdcea|hdeACP|ppi
AACPS5	ACP|amp|atp|h|ocdcea|octeACP|ppi
AADDGT	dtdp|dtdp4aaddg|h|unagamu|unagamuf
AB6PGH	arbt6p|g6p|h2o|hqn
ABTA	4abut|akg|glu-L|sucsal
ABUTD	4abut|4abutn|h|h2o|nad|nadh
ABUTt2	4abut|h
ACACCT	aacoa|ac|acac|accoa
ACACT1r	aacoa|accoa|coa
ACACt2	acac|h
ACALDi	acald|accoa|coa|h|nad|nadh
ACALDt	acald
ACBIPGT	adocbip|agdpcbi|gtp|h|ppi
ACCOACr	accoa|adp|atp|h|hco3|malcoa|pi
ACCOAL	adp|atp|coa|pi|ppa|ppcoa
ACGAMT	uacgam|udcpp|ump|unaga
ACGApts	acgam|acgam6p|pep|pyr
ACGK	acg5p|acglu|adp|atp|h
ACGS	accoa|acglu|coa|glu-L|h
ACHBS	2ahbut|2obut|co2|h|pyr
ACKr	ac|actp|adp|atp|h
ACLS	alac-S|co2|h|pyr
ACMAMUT	uacmamu|udp|unaga|unagamu
ACMANApts	acmana|acmanap|pep|pyr
ACNAMt2	acnam|h
ACNML	acmana|acnam|pyr
ACOATA	ACP|acACP|accoa|coa
ACODA	ac|acorn|h2o|orn
ACONMT	acon-T|aconm|ahcys|amet
ACONT	cit|icit
ACOTA	acg5sa|acorn|akg|glu-L
ACPS1	ACP|apoACP|coa|pap
ACS	ac|accoa|amp|atp|coa|h|ppi
ACt2r	ac|h
ADA	adn|h|h2o|ins|nh4
ADCL	4abz|4adcho|h|pyr
ADCS	4adcho|chor|gln-L|glu-L
ADD	ade|h|h2o|hxan|nh4
ADEt2r	ade|h
ADHEr	accoa|coa|etoh|h|nad|nadh
ADK1	adp|amp|atp
ADK3	adp|amp|gdp|gtp
ADK4	adp|amp|idp|itp
ADMDCr	amet|ametam|co2|h
ADNCYC	atp|camp|ppi
ADNK1	adn|adp|amp|atp
ADNt2	adn|h
ADNt2r	adn|h
ADOCBIK	adocbi|adocbip|adp|atp|h
ADOCBLS	adocbl|agdpcbi|gmp|h|rdmbzi
ADPT	ade|amp|ppi|prpp
ADSK	adp|aps|atp|paps
ADSL1r	amp|dcamp|fum
ADSL2r	25aics|aicar|fum
ADSS	asp-L|dcamp|gdp|gtp|h|imp|pi
AGDC	ac|acgam6p|gam6p|h2o
AGMHE	adphep-D,D|adphep-L,D
AGMT	agm|h2o|ptrc|urea
AGPR	acg5p|acg5sa|nadp|nadph|pi
AHC	adn|ahcys|h2o|hcys-L
