2AGPEAT160	2agpe160|amp|atp|h|hdca|pe160|ppi
2AGPEAT180	2agpe180|amp|atp|h|ocdca|pe180|ppi
2LDA	3mob|co2|coa|ibutcoa|nad|nadh
2MACOAD	fad|fadh2|ibutcoa|macrycoa
2MBCOAD	2mb2ecoa|2mbcoa|fad|fadh2
3H2MBCOAD	2m3aacoa|3h2mbcoa|h|nad|nadh
3HBUTCOAH	3hbutcoa|crotcoa|h2o
3HBUTCOAR	3hbutcoa|aacoa|h|nad|nadh
3HIBUTCOAH	3hibut|3hibutcoa|coa|h|h2o
3HIBUTD	3hibut|h|nad|nadh|rmmsa
3MOPCOAL	2mbcoa|3mop|co2|coa|nad|nadh
4HBAt	4hba
4HTHRS	4hthr|h|h2o|phthr|pi
5DGLCNR	5dglcn|glcn|h|nadp|nadph
AACOAT	aacoa|accoa|coa
AACPS10	ACP|amp|atp|h|mocdca|mstrACP|ppi
AACPS11	4hbz|4hbzACP|ACP|amp|atp|h|ppi
AACPS3	ACP|amp|atp|h|hdca|palmACP|ppi
ABTA	4abut|akg|glu_L|sucsal
ACACCT	aacoa|ac|acac|accoa
ACALDi	acald|accoa|coa|h|nad|nadh
ACBIPGT	adocbip|agdpcbi|gtp|h|ppi
ACCC	chexccoa|co2|h|hexccoa
ACCOACr	accoa|adp|atp|h|hco3|malcoa|pi
ACChex	coa|h|h2o|hexc|hexccoa
ACGAMPM	acgam1p|acgam6p
ACGAMT	uacgam|udcpp|ump|unaga
ACGK	acg5p|acglu|adp|atp|h
ACGS	accoa|acglu|coa|glu_L|h
ACHBS	2ahbut|2obut|co2|h|pyr
ACKr	ac|actp|adp|atp|h
ACLS	alac_S|co2|h|pyr
ACN	h2o|m_aco|m_i_cit
ACOACAT	2m3aacoa|accoa|coa|ppcoa
ACODA	ac|acorn|h2o|orn
ACONT	cit|icit
ACOTA	acg5sa|acorn|akg|glu_L
ACP1_FMN_	fmn|h|h2o|pi|ribflv
ACPS1	ACP|apoACP|coa|pap
ACS	ac|accoa|amp|atp|coa|h|ppi
ACS2	amp|atp|coa|h|ppa|ppcoa|ppi
ACYP	ac|actp|h|h2o|pi
ACYSBMNt	acysbmn
ACtr	ac
ADA	adn|h|h2o|ins|nh4
ADCL	4abz|4adcho|h|pyr
ADCPS1	adcobhex|adocbi|adp|appl|atp|h|pi
ADCPS2	adcobhex|adocbip|adp|applp|atp|h|pi
ADCS	4adcho|chor|gln_L|glu_L
ADCYRS	adcobdam|adcobhex|adp|atp|gln_L|glu_L|h|h2o|pi
ADK1	adp|amp|atp
ADK2	adp|amp|h|ppi|pppi
ADK3	adp|amp|gdp|gtp
ADK4	adp|amp|idp|itp
ADMDCr	amet|ametam|co2|h
ADNCYC	atp|camp|ppi
ADNK1	adn|adp|amp|atp
ADNK3	adn|amp|gdp|gtp
ADNK4	adn|amp|dgdp|dgtp
ADOCBIK	adocbi|adocbip|adp|atp|h
ADOCBLS	adocbl|agdpcbi|gmp|rdmbzi
ADPT	ade|amp|ppi|prpp
ADSK	adp|aps|atp|paps
ADSL1r	amp|dcamp|fum
ADSL2r	25aics|aicar|fum
ADSS	asp_L|dcamp|gdp|gtp|h|imp|pi
AFE	agalfragund|arabinan|arabinanagalfragund|h2o
AFTA	agalfragund|decd_tb|decda_tb|galfragund
AGDC	ac|acgam6p|gam6p|h2o
AGMT	agm|h2o|ptrc|urea
AGPAT160	1hdecg3p|ACP|pa160|palmACP
AGPAT160190	1hdecg3p|ACP|mstrACP|pa160190
AGPAT190	1msg3p|ACP|mstrACP|pa190190
AGPR	acg5p|acg5sa|nadp|nadph|pi
AHC	adn|ahcys|h2o|hcys_L
AHCYSNS	ade|ahcys|h2o|rhcys
AHMMPS	4ahmmp|air|gcald|pi
AICART	10fthf|aicar|fprica|thf
AICART2	adp|aicar|atp|for|fprica|pi
