13BGH	13BDglcn|glc-D|h2o
13BGHe	13BDglcn|glc-D|h2o
13GS	13BDglcn|h|udp|udpg
16GS	16BDglcn|h|udp|udpg
23CAPPD	23camp|amp2p|h|h2o
2DDA7Ptm	2dda7p
2DHPtm	2dhp
2DOXG6PP	2dglc|2doxg6p|h2o|pi
2HBO	2hb|2obut|h|nad|nadh
2HBt2	2hb|h
2HMHMBQMTm	2hpmhmbq|ahcys|amet|h|q6
2HP6MPMOm	2hp6mbq|2hp6mp|h2o|o2
2HPMBQMTm	2hp6mbq|2hpmmbq|ahcys|amet|h
2HPMMBQMOm	2hpmhmbq|2hpmmbq|o2
2MBACt	2mbac
2MBALDt	2mbald
2MBALDtm	2mbald
2MBTOHt	2mbtoh
2MBTOHtm	2mbtoh
2MPPALt	2mppal
2MPPALtm	2mppal
2OBUTtm	2obut
2OXOADPtim	2oxoadp
2PHETOHt	2phetoh
2PHETOHtm	2phetoh
34HPLFM	34hpl|34hpp|h|nad|nadh
34HPPOR	34hpp|co2|hgentis|o2
34HPPt2m	34hpp|h
34HPPt2p	34hpp|h
3C3HMPt	3c3hmp
3C3HMPtm	3c3hmp
3C4MOPtm	3c4mop
3DH5HPBMTm	3dh5hpb|3hph5mb|ahcys|amet|h
3DH5HPBtm	3dh5hpb
3DSPHR	3dsphgn|h|nadp|nadph|sphgn
3HAO	3hanthrn|cmusa|h|o2
3HPH5MBDCm	2hp6mp|3hph5mb|co2
3IPM3MT	3c2hmp|3ipmmest|ahcys|amet
3MBALDt	3mbald
3MBALDtm	3mbald
3MOBDC	2mppal|3mob|co2|h
3MOBtm	3mob
3MOPDC	2mbald|3mop|co2|h
3MOPt	3mop
3MOPtm	3mop
3OPHB5Hm	3dh5hpb|3ophb_5|o2
3OPHB_5tm	3ophb_5
4ABUTNtm	4abutn
4ABUTtm	4abut
4ABZt	4abz
4ABZtm	4abz
4H2OGLTtm	4h2oglt
4H2OGLTtp	4h2oglt
4HBZCOAFm	4hbzcoa|accoa|coa|coucoa|h|h2o|nad|nadh
4HBZFm	4hbz|4hbzcoa|coa|h|h2o
4HBZtm	4hbz
4HGLSDm	4hglusa|e4hglu|h|h2o|nad|nadh
4HPRO-LTtm	4hpro-LT
4HTHRS	4hthr|h2o|phthr|pi
4MOPDC	3mbald|4mop|co2|h
5AOPt2	5aop|h
5AOPtm	5aop
6PGLter	6pgl
8AONNt2	8aonn|h
AABTN	4aabutn|4abut|ac|h2o
AACTOOR	aact|h2o|h2o2|mthgxl|nh4|o2
AASAD1	L2aadp|L2aadp6sa|amp|atp|h|nadp|nadph|ppi
AASAD2	L2aadp|L2aadp6sa|amp|atp|h|nad|nadh|ppi
AATA	2oxoadp|L2aadp|akg|glu-L
ABTA	4abut|akg|glu-L|sucsal
ABTt	abt
ABUTDm	4abut|4abutn|h|h2o|nad|nadh
ABUTt2r	4abut|h
ACACT1	aacoa|accoa|coa
ACACT1m	aacoa|accoa|coa
ACACT4p	3odcoa|accoa|coa|occoa
ACACT5p	3oddcoa|accoa|coa|dcacoa
ACACT6p	3otdcoa|accoa|coa|ddcacoa
ACACT7p	3ohdcoa|accoa|coa|tdcoa
ACACT8p	3ohodcoa|accoa|coa|pmtcoa
ACACT9p	3ohxccoa|accoa|coa|ttccoa
ACALDCD	acald|actn-R
ACALDt	acald
ACALDtm	acald
ACCOACr	accoa|adp|atp|h|hco3|malcoa|pi
ACCOACrm	accoa|adp|atp|h|hco3|malcoa|pi
ACCOAtn	accoa
ACESt	aces
ACGAM6PS	accoa|acgam6p|coa|gam6p|h
ACGAMPM	acgam1p|acgam6p
ACGKm	acg5p|acglu|adp|atp
ACGSm	accoa|acglu|coa|glu-L|h
ACHBSm	2ahbut|2obut|co2|h|pyr
ACHLE1	ac|h|h2o|iamac|iamoh
ACHLE2	ac|h|h2o|ibutac|ibutoh
ACHLE3	ac|aces|etoh|h|h2o
ACLSm	alac-S|co2|h|pyr
ACOAHim	ac|accoa|coa|h|h2o
ACOAO4p	dc2coa|dcacoa|h2o2|o2
ACOAO5p	dd2coa|ddcacoa|h2o2|o2
ACOAO6p	h2o2|o2|td2coa|tdcoa
ACOAO7p	h2o2|hdd2coa|o2|pmtcoa
ACOAO8p	h2o2|o2|od2coa|stcoa
ACOAO9p	h2o2|hexccoa|hxc2coa|o2
ACOATA	ACP|acACP|accoa|coa
ACOATAm	ACP|acACP|accoa|coa
ACON3MT	acon-T|acon5m|ahcys|amet
ACONT	cit|icit
ACONT3m	2mcit|micit
ACONTm	cit|icit
ACOTAim	acg5sa|acorn|akg|glu-L
ACP1e	fmn|h2o|pi|ribflv
ACPSm	coa|h|h2o|pan4p|pap
ACRNtm	acrn
ACRNtp	acrn
ACS	ac|accoa|amp|atp|coa|ppi
ACSm	ac|accoa|amp|atp|coa|ppi
ACSp	ac|accoa|amp|atp|coa|ppi
ACt2r	ac|h
ACtm	ac
ACtp	ac
ACtr	ac
ADA	adn|h|h2o|ins|nh4
ADCL	4abz|4adcho|h|pyr
ADCS	4adcho|chor|gln-L|glu-L
ADD	ade|h|h2o|hxan|nh4
ADEt2	ade|h
ADEtm	ade
ADHAPR_SC	1ag3p_SC|1agly3p_SC|h|nadp|nadph
ADK1	adp|amp|atp
ADK1m	adp|amp|atp
ADK3	adp|amp|gdp|gtp
ADK3m	adp|amp|gdp|gtp
ADK4	adp|amp|idp|itp
ADK4m	adp|amp|idp|itp
ADMDC	amet|ametam|co2|h
ADNCYC	atp|camp|ppi
ADNK1	adn|adp|amp|atp|h
ADNUC	ade|adn|h2o|rib-D
ADNt2	adn|h
ADPT	ade|amp|ppi|prpp
ADSK	adp|aps|atp|h|paps
ADSL1r	amp|dcamp|fum
ADSL2r	25aics|aicar|fum
ADSS	asp-L|dcamp|gdp|gtp|h|imp|pi
AGAT_SC	1ag3p_SC|coa|dcacoa|ddcacoa|hdcoa|ocdycacoa|odecoa|pa_SC|pmtcoa|stcoa|tdcoa
AGPRim	acg5p|acg5sa|h|nadp|nadph|pi
AGTi	ala-L|glx|gly|pyr
AHCYStm	ahcys
AHCi	adn|ahcys|h2o|hcys-L
AHMMPS	4ahmmp|air|gcald|h|pi
AHSERL	ac|achms|ch4s|h|met-L
AHSERL2	ac|achms|h|h2s|hcys-L
AICART	10fthf|aicar|fprica|thf
AIRCr	5aizc|air|co2|h
AKGDam	akg|co2|h|lpam|sdhlam
AKGDbm	coa|dhlam|sdhlam|succoa
AKGMAL	akg|mal-L
AKGt2n	akg|h
AKGt2r	akg|h
AKGtp	akg
AKP1	ahdt|dhnpt|h|h2o|pi
ALASm	5aop|co2|coa|gly|h|succoa
ALATA_L	akg|ala-L|glu-L|pyr
ALATA_Lm	akg|ala-L|glu-L|pyr
ALATRS	ala-L|alatrna|amp|atp|ppi|trnaala
ALAt2r	ala-L|h
ALAtmi	ala-L
ALCD19y	glyald|glyc|h|nadp|nadph
ALCD22xi	2mbald|2mbtoh|h|nad|nadh
ALCD22xim	2mbald|2mbtoh|h|nad|nadh
ALCD22yi	2mbald|2mbtoh|h|nadp|nadph
ALCD23xi	2mppal|h|ibutoh|nad|nadh
ALCD23xim	2mppal|h|ibutoh|nad|nadh
ALCD23yi	2mppal|h|ibutoh|nadp|nadph
ALCD24xi	3mbald|h|iamoh|nad|nadh
ALCD24xim	3mbald|h|iamoh|nad|nadh
ALCD24yi	3mbald|h|iamoh|nadp|nadph
ALCD25xi	2phetoh|h|nad|nadh|pacald
ALCD25xim	2phetoh|h|nad|nadh|pacald
ALCD25yi	2phetoh|h|nadp|nadph|pacald
ALCD26xi	h|id3acald|ind3eth|nad|nadh
ALCD26xim	h|id3acald|ind3eth|nad|nadh
ALCD2if	acald|etoh|h|nad|nadh
ALCD2ir	acald|etoh|h|nad|nadh
ALCD2irm	acald|etoh|h|nad|nadh
ALCD2x	acald|etoh|h|nad|nadh
ALDD19x	h|h2o|nad|nadh|pac|pacald
ALDD20xm	h|h2o|id3acald|ind3ac|nad|nadh
ALDD20y	h|h2o|id3acald|ind3ac|nadp|nadph
ALDD20ym	h|h2o|id3acald|ind3ac|nadp|nadph
ALDD22x	ala-B|aproa|h|h2o|nad|nadh
ALDD2xm	ac|acald|h|h2o|nad|nadh
ALDD2y	ac|acald|h|h2o|nadp|nadph
ALDD2ym	ac|acald|h|h2o|nadp|nadph
ALLTAHr	alltt|h2o|urdglyc|urea
ALLTNr	alltn|alltt|h|h2o
ALLTNti	alltn
ALLTTti	alltt
ALPHNH	allphn|co2|h|h2o|nh4
AMAOTr	8aonn|amet|amob|dann
AMETt2	amet|h
AMETtm	amet
AMID	4gudbd|4gudbutn|h2o|nh4
AMID2	h2o|nh4|pac|pad
AMID3	h2o|iad|ind3ac|nh4
AMPDA	amp|h|h2o|imp|nh4
AMPN	ade|amp|h2o|r5p
AMPtn	amp
ANPRT	anth|ppi|pran|prpp
ANS	anth|chor|gln-L|glu-L|h|pyr
AOBUTDs	2aobut|aact|co2|h
AP4AHr	adp|ap4a|h|h2o
