12PPDt	12ppd-S
23CN2P1	23camp|3amp|h|h2o
23CN2P2	23cump|3ump|h|h2o
23CN2P3	23ccmp|3cmp|h|h2o
23CN2P4	23cgmp|3gmp|h|h2o
2AMIPYT	2aeppn|ala-L|pald|pyr
2DGLCNRx	2dhglcn|glcn-D|h|nad|nadh
2DGLCNRy	2dhglcn|glcn-D|h|nadp|nadph
2DGULRx	2dhguln|h|idon-L|nad|nadh
2DGULRy	2dhguln|h|idon-L|nadp|nadph
2INSD	2ins|dkdi|h2o
2PGt6ii	2pg|pi
3NUCLE1	3amp|adn|h2o|pi
3NUCLE2	3ump|h2o|pi|uri
3NUCLE3	3cmp|cytd|h2o|pi
3NUCLE4	3gmp|gsn|h2o|pi
3PGt-6	3pg|pi
4HPACt2r	4hphac|h
4HTHRS	4hthr|h2o|phthr|pi
5CMHMISO	5cmhm|5cohe
5DGLCNR	5dglcn|glcn-D|h|nadp|nadph
5DOAN	5drib|ade|dad-5|h2o
A5PISO	ara5p|ru5p-D
AACPS1	ACP|amp|atp|myrsACP|ppi|ttdca
AACPS12	ACP|amp|atp|ocdcya|ocdcyaACP|ppi
AACPS3	ACP|amp|atp|hdca|palmACP|ppi
AACPS4	ACP|amp|atp|hdcea|hdeACP|ppi
AACPS5	ACP|amp|atp|ocdcea|octeACP|ppi
AACPS6	ACP|amp|atp|ocdACP|ocdca|ppi
AACPS7	ACP|amp|atp|ddca|ddcaACP|ppi
AACPS8	ACP|amp|atp|ocdcte|ocdcteACP|ppi
AADDGT	dtdp|dtdp4aaddg|h|unagamu|unagamuf
ABTA	4abut|akg|glu-L|sucsal
ABUTD	4abut|4abutn|h|h2o|nad|nadh
ACALD	acald|accoa|coa|h|nad|nadh
ACALDt	acald
ACBIPGT	adcobap|adgcoba|gtp|h|ppi
ACCOACr	accoa|adp|atp|h|hco3|malcoa|pi
ACCOAL	adp|atp|coa|pi|ppa|ppcoa
ACGAMT	uacgam|udcpp|ump|unaga
ACGApts	acgam|acgam6p|pep|pyr
ACGK	acg5p|acglu|adp|atp
ACGS	accoa|acglu|coa|glu-L|h
ACHBS	2ahbut|2obut|co2|h|pyr
ACKr	ac|actp|adp|atp
ACLS	alac-S|co2|h|pyr
ACMAMUT	h|uacmamu|udp|unaga|unagamu
ACMANApts	acmana|acmanap|pep|pyr
ACMAT1	ACP|acACP|actACP|co2|h|malACP
ACNAMt2	acnam|h
ACNML	acmana|acnam|pyr
ACOATA	ACP|acACP|accoa|coa
ACODA	ac|acorn|h2o|orn-L
ACONTa	acon-C|cit|h2o
ACONTb	acon-C|h2o|icit
ACOTA	acg5sa|acorn|akg|glu-L
ACPS1	ACP|apoACP|coa|h|pap
ACS	ac|accoa|amp|atp|coa|ppi
ACt4	ac|na1
ACt6	ac|h
ADA	adn|h|h2o|ins|nh4
ADCL	4abz|4adcho|h|pyr
ADCOBAK	adcoba|adcobap|adp|atp|h
ADCOBHEXS	adcobdam|adcobhex|adp|atp|gln-L|glu-L|h|h2o|pi
ADCPS2	adcobap|adcobhex|adp|applp|atp|h|pi
ADCS	4adcho|chor|gln-L|glu-L
ADEt2	ade|h
ADK1	adp|amp|atp
ADK3	adp|amp|gdp|gtp
ADK4	adp|amp|idp|itp
ADMDC	amet|ametam|co2|h
ADNCYC	atp|camp|ppi
ADNK1	adn|adp|amp|atp|h
ADNt2	adn|h
ADOCBLS	adgcoba|cobamcoa|gmp|h|nad|nadh|rdmbzi
ADPRDP	adprib|amp|h|h2o|r5p
ADPT	ade|amp|ppi|prpp
ADSK	adp|aps|atp|h|paps
ADSL1r	amp|dcamp|fum
ADSL2r	25aics|aicar|fum
ADSS	asp-L|dcamp|gdp|gtp|h|imp|pi
AEPPNabc	2aeppn|adp|atp|h|h2o|pi
AGDC	ac|acgam6p|gam6p|h2o
AGMHE	adphep-D,D|adphep-L,D
AGMT	agm|h2o|ptrc|urea
AGPR	acg5p|acg5sa|h|nadp|nadph|pi
AHAI	23dhmb|alac-S|h|nadp|nadph
AHCYSNS	ade|ahcys|h2o|rhcys
AICART	10fthf|aicar|fprica|thf
AIRC2	5caiz|adp|air|atp|h|hco3|pi
AIRC3	5aizc|5caiz
AKGD	akg|co2|coa|nad|nadh|succoa
AKGt2	akg|h
ALAALA	adp|ala-D|alaala|atp|h|pi
ALAGLUEP	ala-L-glu-D|ala-L-glu-L
ALAR	ala-D|ala-L
ALATA_D2	ala-D|pyam5p|pydx5p|pyr
ALATA_L	akg|ala-L|glu-L|pyr
ALATA_L2	ala-L|pyam5p|pydx5p|pyr
ALATRS	ala-L|alatrna|amp|atp|ppi|trnaala
ALA_Dt2	ala-D|h
ALAabc	adp|ala-L|atp|h|h2o|pi
ALAt2	ala-L|h
ALCD2x	acald|etoh|h|nad|nadh
ALCD2z	h|nad|nadh|ppal|ppoh
ALDD2y	ac|acald|h|h2o|nadp|nadph
ALLTAMH	alltt|co2|h|h2o|nh4|urdglyc
ALLTN	alltn|alltt|h|h2o
ALLTNt6	alltn|h
AMALT1	glc-D|malt|malttr|maltttr
AMALT2	glc-D|malt|maltpt|maltttr
AMALT3	glc-D|malt|malthx|maltpt
AMALT4	glc-D|malt|malthp|malthx
AMANAPEr	acgam6p|acmanap
AMANK	acmana|acmanap|adp|atp|h
AMAOT	8aonn|amet|amob|dann
AMMQT8_2	2dmmq8|ahcys|amet|h|mqn8
AMPCLNt	ampcln|h
AMPMS	4ampm|air|for|h|h2o
AMPN	ade|amp|h2o|r5p
ANPRT	anth|ppi|pran|prpp
ANS1	anth|chor|gln-L|glu-L|h|pyr
AOXS	8aonn|ala-L|co2|coa|h|pmcoa
AP4AH	adp|ap4a|h|h2o
AP5AH	adp|ap5a|atp|h|h2o
APRAUR	5aprbu|5apru|h|nadp|nadph
ARAI	arab-L|rbl-L
ARBt2	arab-L|h
ARGDC	agm|arg-L|co2|h
ARGDr	arg-L|citr-L|h2o|nh4
ARGORNt3	arg-L|orn-L
ARGSL	arg-L|argsuc|fum
ARGSS	amp|argsuc|asp-L|atp|citr-L|h|ppi
ARGTRS	amp|arg-L|argtrna|atp|ppi|trnaarg
ARGabc	adp|arg-L|atp|h|h2o|pi
ARGt3	arg-L|h
ASAD	4pasp|aspsa|h|nadp|nadph|pi
ASCBPL	3dgulnp|ascb6p|h|h2o
ASCBpts	ascb|ascb6p|pep|pyr
ASNN	asn-L|asp-L|h2o|nh4
ASNNe	asn-L|asp-L|h2o|nh4
ASNS1	amp|asn-L|asp-L|atp|gln-L|glu-L|h|h2o|ppi
ASNS2	amp|asn-L|asp-L|atp|h|nh4|ppi
ASNTRS	amp|asn-L|asntrna|atp|ppi|trnaasn
ASNt2	asn-L|h
ASP1DC	ala-B|asp-L|co2|h
ASPCT	asp-L|cbasp|cbp|h|pi
ASPDt	asp-D
ASPK	4pasp|adp|asp-L|atp
ASPO3	asp-L|h|iasp|ubq8|ubq8h2
ASPO4	asp-L|h|iasp|mql8|mqn8
ASPO5	asp-L|fum|h|iasp|succ
ASPO6	asp-L|h|h2o2|iasp|o2
ASPR	asp-D|asp-L
ASPT	asp-L|fum|nh4
ASPTA1r	akg|asp-L|glu-L|oaa
ASPTRS	amp|asp-L|asptrna|atp|ppi|trnaasp
ASPabc	adp|asp-L|atp|h|h2o|pi
ASPt2	asp-L|h
ASPt2_2	asp-L|h
ASPt2_3	asp-L|h
AST	arg-L|coa|h|sucarg|succoa
ATPM	adp|atp|h|h2o|pi
ATPPRT	atp|ppi|prbatp|prpp
ATPS4r	adp|atp|h|h2o|pi
BPNT	amp|h2o|pap|pi
BSORx	btn|btnso|h|h2o|nad|nadh
BSORy	btn|btnso|h|h2o|nadp|nadph
BTS2	ala-L|btn|cys-L|dtbt|h
C120SN	ACP|actACP|co2|ddcaACP|h|h2o|malACP|nadp|nadph
C140SN	ACP|actACP|co2|h|h2o|malACP|myrsACP|nadp|nadph
C160SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|palmACP
C161SN	ACP|actACP|co2|h|h2o|hdeACP|malACP|nadp|nadph
C180SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|ocdACP
C181SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|octeACP
C182SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|ocdcyaACP
C184SN	ACP|actACP|co2|h|h2o|malACP|nadp|nadph|ocdcteACP
CADVt	15dap|h|lys-L
CAMt	cam|h
CAMt2	cam
CAT	h2o|h2o2|o2
CBIAT2	adcoba|atp|cbi|h|pppi
CBIabc	adp|atp|cbi|h|h2o|pi
CBL1abc	adp|atp|cbl1|h|h2o|pi
CBLAT2	atp|cbl1|cobamcoa|h|pppi
CBMK2	adp|atp|cbp|co2|h|nh4
CBPS	adp|atp|cbp|gln-L|glu-L|h|h2o|hco3|pi
CDAPPA2_ST	cdpdag2_ST|cmp|h|h2o|pa2_ST
CDPABEQS	cdpabe|cdpdddg|h|nad|nadh
CDPDDGR	cdpdddg|cdpddg|h|h2o|nad|nadh
CDPGHL	cdpddg|cdpglc|h2o
CDPGLU	cdpglc|ctp|g1p|h|ppi
CDPMEK	2p4c2me|4c2me|adp|atp|h
CELBpts	6pgg|cellb|pep|pyr
CELLSYN	cell|h|udp|udpg
CFTXMt	cftxm|h
CHCOAL	amp|atp|coa|pime|pmcoa|ppi
CHITOBpts	chit6p|chitob|pep|pyr
