AKGEquiv	2-KETOGLUTARATE|AlphaKG
ATPase	ADP|ATP|Pi
AconDHatase	CisAconitate|Citrate
AconHydr	CisAconitate|IsoCitrate
AlphaKGDH	AlphaKG|CARBON-DIOXIDE|CoA|NADH_m|NAD_m|Proton_m|SucCoA
CisAconEquiv	CIS-ACONITATE|CisAconitate
CitEquiv	CIT|Citrate
CitSynth	AcCoA|Citrate|CoA|OxalAc|WATER
Complex_I	NADH_m|NAD_m|PROTON|Proton_m|Q|QH2
Complex_II	FUM_m|Q|QH2|SUC_m
Complex_III	Cyt_ox|Cyt_red|PROTON|Proton_m|Q|QH2
Complex_IV	Cyt_ox|Cyt_red|OXYGEN-MOLECULE|PROTON|Proton_m|WATER
Complex_V	ADP|ATP|PROTON|Pi|Proton_m
FA_Synth	ACETYL-COA|ADP|ATP|CO-A|NADP|NADPH|PALMITATE|Pi
FumEquiv	FUM|FUM_m
Fumarase	FUM_m|MAL_m|WATER
GLC_tx	GLC|GLC_e
ICitEquiv	IsoCitrate|THREO-DS-ISO-CITRATE
IsoCitDH	AlphaKG|CARBON-DIOXIDE|IsoCitrate|NADH_m|NAD_m|Proton_m
MalDH	MAL_m|NADH_m|NAD_m|OxalAc|Proton_m
MalEquiv	MAL|MAL_m
NADOxid	NAD|NADH
NH3_tx	AMMONIA|NH3_e
NO3_tx	NITRATE|NO3_e
OAAEquiv	OXALACETIC_ACID|OxalAc
Pi_tx	Pi|Pi_e
PyrDH	AcCoA|CARBON-DIOXIDE|CoA|NADH_m|NAD_m|PYRUVATE
SO4_tx	SO4_e|SULFATE
SucEquiv	SUC|SUC_m
SucThioK	ADP|ATP|CoA|Pi|SUC_m|SucCoA
TransHgnase	NAD|NADH|NADP|NADPH
reac_0	14-BETA-D-XYLANN|UDP|UDP-D-XYLOSE
reac_1	4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON|BETA-HYDROXY-4BETA-METHYL-5ALPHA-CHOLEST|CARBON-DIOXIDE|NAD|NADH
