12DGR120tipp	12dgr120
12DGR140tipp	12dgr140
12DGR141tipp	12dgr141
12DGR160tipp	12dgr160
12DGR161tipp	12dgr161
12DGR180tipp	12dgr180
12DGR181tipp	12dgr181
12PPDRtex	12ppd-R
12PPDRtpp	12ppd-R
12PPDStex	12ppd-S
12PPDStpp	12ppd-S
14GLUCANabcpp	14glucan|adp|atp|h|h2o|pi
14GLUCANtexi	14glucan
23CAMPtex	23camp
23CCMPtex	23ccmp
23CGMPtex	23cgmp
23CUMPtex	23cump
23DAPPAt2pp	23dappa|h
23DAPPAtex	23dappa
23PDE2pp	23cump|3ump|h2o
23PDE4pp	23ccmp|3cmp|h2o
23PDE7pp	23camp|3amp|h2o
23PDE9pp	23cgmp|3gmp|h2o
26DAHtex	26dap-M
2AGPA120tipp	2ddecg3p
2AGPA140tipp	2tdecg3p
2AGPA141tipp	2tdec7eg3p
2AGPA160tipp	2hdecg3p
2AGPA161tipp	2hdec9eg3p
2AGPA180tipp	2odecg3p
2AGPA181tipp	2odec11eg3p
2AGPE120tipp	2agpe120
2AGPE140tipp	2agpe140
2AGPE141tipp	2agpe141
2AGPE160tipp	2agpe160
2AGPE161tipp	2agpe161
2AGPE180tipp	2agpe180
2AGPE181tipp	2agpe181
2AGPEAT120	2agpe120|amp|atp|ddca|h|pe120|ppi
2AGPEAT140	2agpe140|amp|atp|h|pe140|ppi|ttdca
2AGPEAT141	2agpe141|amp|atp|h|pe141|ppi|ttdcea
2AGPEAT160	2agpe160|amp|atp|h|hdca|pe160|ppi
2AGPEAT161	2agpe161|amp|atp|h|hdcea|pe161|ppi
2AGPEAT180	2agpe180|amp|atp|h|ocdca|pe180|ppi
2AGPEAT181	2agpe181|amp|atp|h|ocdcea|pe181|ppi
2AGPG120tipp	2agpg120
2AGPG140tipp	2agpg140
2AGPG141tipp	2agpg141
2AGPG160tipp	2agpg160
2AGPG161tipp	2agpg161
2AGPG180tipp	2agpg180
2AGPG181tipp	2agpg181
2AGPGAT120	2agpg120|amp|atp|ddca|h|pg120|ppi
2AGPGAT140	2agpg140|amp|atp|h|pg140|ppi|ttdca
2AGPGAT141	2agpg141|amp|atp|h|pg141|ppi|ttdcea
2AGPGAT160	2agpg160|amp|atp|h|hdca|pg160|ppi
2AGPGAT161	2agpg161|amp|atp|h|hdcea|pg161|ppi
2AGPGAT180	2agpg180|amp|atp|h|ocdca|pg180|ppi
2AGPGAT181	2agpg181|amp|atp|h|ocdcea|pg181|ppi
2DGLCNRx	2dhglcn|glcn|h|nad|nadh
2DGLCNRy	2dhglcn|glcn|h|nadp|nadph
2DGULRx	2dhguln|h|idon-L|nad|nadh
2DGULRy	2dhguln|h|idon-L|nadp|nadph
2MAHMP	2mahmp|4ampm|h|h2o|pi
34dhpactex	34dhpac
3AMPtex	3amp
3CMPtex	3cmp
3GMPtex	3gmp
3HAD100	3hdecACP|h2o|tdec2eACP
3HAD120	3hddecACP|h2o|tddec2eACP
3HAD121	3hcddec5eACP|h2o|t3c5ddeceACP
3HAD140	3hmrsACP|h2o|tmrs2eACP
3HAD141	3hcmrs7eACP|h2o|t3c7mrseACP
3HAD160	3hpalmACP|h2o|tpalm2eACP
3HAD161	3hcpalm9eACP|h2o|t3c9palmeACP
3HAD180	3hoctaACP|h2o|toctd2eACP
3HAD181	3hcvac11eACP|h2o|t3c11vaceACP
3HAD40	3haACP|but2eACP|h2o
3HAD60	3hhexACP|h2o|thex2eACP
3HAD80	3hoctACP|h2o|toct2eACP
3HCINNMH	3hcinnm|dhcinnm|h|h2o|nad|nadh|o2
3HPPPNH	3hpppn|dhpppn|h|h2o|nad|nadh|o2
3KGK	3dhguln|3dhgulnp|adp|atp
3NTD2pp	3ump|h|h2o|pi|uri
3NTD4pp	3cmp|cytd|h|h2o|pi
3NTD7pp	3amp|adn|h|h2o|pi
3NTD9pp	3gmp|gsn|h|h2o|pi
3OAR100	3hdecACP|3odecACP|h|nadp|nadph
3OAR120	3hddecACP|3oddecACP|h|nadp|nadph
3OAR121	3hcddec5eACP|3ocddec5eACP|h|nadp|nadph
3OAR140	3hmrsACP|3omrsACP|h|nadp|nadph
3OAR141	3hcmrs7eACP|3ocmrs7eACP|h|nadp|nadph
3OAR160	3hpalmACP|3opalmACP|h|nadp|nadph
3OAR161	3hcpalm9eACP|3ocpalm9eACP|h|nadp|nadph
3OAR180	3hoctaACP|3ooctdACP|h|nadp|nadph
3OAR181	3hcvac11eACP|3ocvac11eACP|h|nadp|nadph
3OAR40	3haACP|actACP|h|nadp|nadph
3OAR60	3hhexACP|3ohexACP|h|nadp|nadph
3OAR80	3hoctACP|3ooctACP|h|nadp|nadph
3OAS100	3odecACP|ACP|co2|h|malACP|ocACP
3OAS120	3oddecACP|ACP|co2|dcaACP|h|malACP
3OAS121	3ocddec5eACP|ACP|cdec3eACP|co2|h|malACP
3OAS140	3omrsACP|ACP|co2|ddcaACP|h|malACP
3OAS141	3ocmrs7eACP|ACP|cddec5eACP|co2|h|malACP
3OAS160	3opalmACP|ACP|co2|h|malACP|myrsACP
3OAS161	3ocpalm9eACP|ACP|co2|h|malACP|tdeACP
3OAS180	3ooctdACP|ACP|co2|h|malACP|palmACP
3OAS181	3ocvac11eACP|ACP|co2|h|hdeACP|malACP
3OAS60	3ohexACP|ACP|butACP|co2|h|malACP
3OAS80	3ooctACP|ACP|co2|h|hexACP|malACP
3PEPTabcpp	LalaDgluMdap|adp|atp|h|h2o|pi
3PEPTtex	LalaDgluMdap
3UMPtex	3ump
42A12BOOXpp	34dhpac|dopa|h2o|h2o2|nh4|o2
4HOXPACDtex	4hoxpacd
4HTHRS	4hthr|h|h2o|phthr|pi
4PCP	LalaDgluMdap|LalaDgluMdapDala|ala-D|h2o
4PCPpp	LalaDgluMdap|LalaDgluMdapDala|ala-D|h2o
4PEPTabcpp	LalaDgluMdapDala|adp|atp|h|h2o|pi
4PEPTtex	LalaDgluMdapDala
5DGLCNR	5dglcn|glcn|h|nadp|nadph
5DGLCNt2rpp	5dglcn|h
5DGLCNtex	5dglcn
5DOAN	5drib|ade|dad-5|h2o
A5PISO	ara5p|ru5p-D
AACPS1	ACP|amp|atp|h|myrsACP|ppi|ttdca
AACPS2	ACP|amp|atp|h|ppi|tdeACP|ttdcea
AACPS3	ACP|amp|atp|h|hdca|palmACP|ppi
AACPS4	ACP|amp|atp|h|hdcea|hdeACP|ppi
AACPS5	ACP|amp|atp|h|ocdcea|octeACP|ppi
AACPS6	ACP|amp|atp|h|ocdca|ocdcaACP|ppi
AACPS7	ACP|amp|atp|ddca|ddcaACP|h|ppi
AACPS8	ACP|amp|atp|dca|dcaACP|h|ppi
AACPS9	ACP|amp|atp|h|ocACP|octa|ppi
AACTOOR	aact|h2o|h2o2|mthgxl|nh4|o2
AADDGT	dtdp|dtdp4aaddg|unagamu|unagamuf
AAMYL	14glucan|malthx
AAMYLpp	14glucan|malthx
AB6PGH	arbt6p|g6p|h2o|hqn
ABTA	4abut|akg|glu-L|sucsal
ABUTD	4abut|4abutn|h|h2o|nad|nadh
ABUTt2pp	4abut|h
ABUTtex	4abut
ACACCT	aacoa|ac|acac|accoa
ACACT1r	aacoa|accoa|coa
ACACt2pp	acac|h
ACACtex	acac
ACALD	acald|accoa|coa|h|nad|nadh
ACALDtex	acald
ACALDtpp	acald
ACANTHAT	acanth|accoa|anth|coa
ACBIPGT	adocbip|agdpcbi|gtp|h|ppi
ACCOAC	accoa|adp|atp|h|hco3|malcoa|pi
ACCOAL	adp|atp|coa|pi|ppa|ppcoa
ACGAL1PPpp	acgal|acgal1p|h|h2o|pi
ACGAL1Ptex	acgal1p
ACGALtex	acgal
ACGAM1PPpp	acgam|acgam1p|h|h2o|pi
ACGAM1Ptex	acgam1p
ACGAMK	acgam|acgam6p|adp|atp
ACGAMT	uacgam|udcpp|ump|unaga
ACGAptspp	acgam|acgam6p|pep|pyr
ACGAtex	acgam
ACGK	acg5p|acglu|adp|atp|h
ACGS	accoa|acglu|coa|glu-L|h
ACHBS	2ahbut|2obut|co2|h|pyr
ACKr	ac|actp|adp|atp|h
ACLS	alac-S|co2|h|pyr
ACM6PH	acgam6p|acmum6p|h2o|lac-D
ACMAMUT	uacmamu|udp|unaga|unagamu
ACMANAptspp	acmana|acmanap|pep|pyr
ACMANAtex	acmana
ACMUMptspp	acmum|acmum6p|pep|pyr
ACMUMtex	acmum
ACNAMt2pp	acnam|h
ACNAMtex	acnam
ACNML	acmana|acnam|pyr
ACOAD1f	b2coa|btcoa|fad|fadh2
ACOAD2f	fad|fadh2|hx2coa|hxcoa
ACOAD3f	fad|fadh2|oc2coa|occoa
ACOAD4f	dc2coa|dcacoa|fad|fadh2
ACOAD5f	dd2coa|ddcacoa|fad|fadh2
ACOAD6f	fad|fadh2|td2coa|tdcoa
ACOAD7f	fad|fadh2|hdd2coa|pmtcoa
ACOAD8f	fad|fadh2|od2coa|stcoa
ACOATA	ACP|acACP|accoa|coa
ACODA	ac|acorn|h2o|orn
ACOLIPAtex	acolipa
ACONIs	acon-C|acon-T
ACONMT	acon-T|aconm|ahcys|amet
ACONTa	acon-C|cit|h2o
ACONTb	acon-C|h2o|icit
ACOTA	acg5sa|acorn|akg|glu-L
ACPS1	ACP|apoACP|coa|pap
ACS	ac|accoa|amp|atp|coa|h|ppi
ACSERtex	acser
ACSERtpp	acser
ACt2rpp	ac|h
ACt4pp	ac|na1
ACtex	ac
ADA	adn|h|h2o|ins|nh4
ADCL	4abz|4adcho|h|pyr
ADCS	4adcho|chor|gln-L|glu-L
ADD	ade|h|h2o|hxan|nh4
ADEt2rpp	ade|h
ADEtex	ade
ADK1	adp|amp|atp
ADK3	adp|amp|gdp|gtp|h
ADK4	adp|amp|idp|itp
ADMDC	amet|ametam|co2|h
ADNCYC	atp|camp|ppi
ADNK1	adn|adp|amp|atp
ADNUC	ade|adn|h2o|rib-D
ADNt2pp	adn|h
ADNt2rpp	adn|h
ADNtex	adn
ADOCBIK	adocbi|adocbip|adp|atp|h
ADOCBLS	adocbl|agdpcbi|gmp|h|rdmbzi
ADOCBLabcpp	adocbl|adp|atp|h|h2o|pi
ADOCBLtonex	adocbl|h
ADPRDP	adprib|amp|h2o|r5p
ADPT	ade|amp|ppi|prpp
ADSK	adp|aps|atp|paps
ADSL1r	amp|dcamp|fum
ADSL2r	25aics|aicar|fum
ADSS	asp-L|dcamp|gdp|gtp|h|imp|pi
