2PGK	23dpg|2pg|adp|atp|h
2PLS	2plac-L|gdp|gtp|h|lac-L
4ABZt2r	4abz|h
4KFBPP	4kfbp|dkdofp|pi
5HBZIDS	5hbzid|ribflv|unknown_rbfdeg
7MHS	7mhp|7ohp|cys-L|h|nad|nadh|ser-L
7MHTS	7mhp|7mht|adp|atp|h|pi|thr-L
ABTA	4abut|akg|glu-L|sucsal
ACACT1	aacoa|accoa|coa
ACBIPGT	adocbip|agdpcbi|gtp|h|ppi
ACCOAL2r	adp|atp|coa|pi|ppa|ppcoa
ACGK	acg5p|acglu|adp|atp
ACGS	accoa|acglu|coa|glu-L|h
ACHBS	2ahbut|2obut|co2|h|pyr
ACKr	ac|actp|adp|atp
ACLDC	actn-R|alac-S|co2|h
ACLS	alac-S|co2|h|pyr
ACONMT	acon-T|aconm|ahcys|amet
ACONT	cit|icit
ACOTA	acg5sa|acorn|akg|glu-L
ACP1(FMN)	fmn|h2o|pi|ribflv
ACS2	amp|atp|coa|ppa|ppcoa|ppi
ACTNt2r	actn-R|h
ACYP	13dpg|3pg|h|h2o|pi
ACYP_2	ac|actp|h|h2o|pi
ACt2r	ac|h
ADCPS2	adcobhex|adocbip|adp|applp|atp|h|pi
ADCYRS	adcobdam|adcobhex|adp|atp|gln-L|glu-L|h|h2o|pi
ADD	ade|h|h2o|hxan|nh4
ADK1	adp|amp|atp
ADK2	adp|amp|ppi|pppi
ADK3	adp|amp|gdp|gtp
ADK4	adp|amp|idp|itp
ADKd	dadp|damp|datp
ADNCYC	atp|camp|ppi
ADNK1	adn|adp|amp|atp|h
ADOCBIAH	adcobhex|adocbi|appl|h2o
ADOCBLS2	adocblhbi|agdpcbi|gmp|h|r5hbzi
ADPT	ade|amp|ppi|prpp
ADSL1	amp|dcamp|fum
ADSL2	25aics|aicar|fum
ADSS	asp-L|dcamp|gdp|gtp|h|imp|pi
AGAIAGT	agdpgpi|dpgpi|h|uacgam|udp
AGAID	ac|agdpgpi|gdpgpi|h2o
AGMT	agm|h2o|ptrc|urea
AGPR	acg5p|acg5sa|h|nadp|nadph|pi
AHC	adn|ahcys|h2o|hcys-L
AHGDx	S2hglut|akg|h|nad|nadh
AHMMPS	4ahmmp|air|gcald|h|pi
AHSERL2	ac|achms|h|h2s|hcys-L
AHXDH	6ax|6ax6ax|h2o
AICART	10fthf|aicar|fprica|thf
AIRC2	5caiz|adp|air|atp|h|hco3|pi
AIRC3	5aizc|5caiz
AKACAL	Rh2cit|accoa|coa|h|h2o|ohexa
AKGCAL	accoa|akg|coa|h|hacon-T
AKP1	ahdt|dhnpt|h|h2o|pi
AKPCAL	Rh3cit|accoa|coa|h|h2o|ohepa
AKSCAL	2ood|accoa|glyc-R|h2o|pmcoa
AKSDC	2ood|7ohp|co2|h
ALACt2r	alac-S|h
ALATA_L	akg|ala-L|glu-L|pyr
ALATRS	ala-L|alatrna|amp|atp|ppi|trnaala
ALAt4r	ala-L|na1
ALCD20y	2ppoh|acetone|h|nadp|nadph
ALCD2y	acald|etoh|h|nadp|nadph
ALDD1	fald|for|h|h2o|nad|nadh
ALDD2x	ac|acald|h|h2o|nad|nadh
ALKP	dha|dhap|h2o|pi
AMAOTr	8aonn|amet|amob|dann
ANPRT	anth|ppi|pran|prpp
ANS	anth|chor|gln-L|glu-L|h|pyr
AOXSr	8aonn|ala-L|co2|coa|h|pmcoa
APPLP	adp|appl|applp|atp|h
ARGDC	agm|arg-L|co2|h
ARGDr	arg-L|citr-L|h2o|nh4
ARGSL	arg-L|argsuc|fum
ARGSS	amp|argsuc|asp-L|atp|citr-L|h|ppi
ARGTRS	amp|arg-L|argtrna|atp|ppi|trnaarg
ASADi	4pasp|aspsa|h|nadp|nadph|pi
ASD	co2|dpgpe|dpgps|h
ASNN	asn-L|asp-L|h2o|nh4
ASNS1	amp|asn-L|asp-L|atp|gln-L|glu-L|h|h2o|ppi
ASP1DC	ala-B|asp-L|co2|h
ASPCT	asp-L|cbasp|cbp|h|pi
ASPKi	4pasp|adp|asp-L|atp
ASPTA	akg|asp-L|glu-L|oaa
ASPTRS	amp|asp-L|asptrna|atp|ppi|trnaasp
ATGH	dggpg|dpgpg|h|nadp|nadph
ATIH	dggpi|dpgpi|h|nadp|nadph
ATPM	adp|atp|h|h2o|pi
ATPPRT	atp|ppi|prbatp|prpp
ATPS1	adp|atp|h|h2o|pi
ATPS4r	adp|atp|h|h2o|pi
ATRZCH	atrz|cl|h|h2o|hatrz
ATSH	dgggps|dpgps|h|nadp|nadph
BACCL	atp|btamp|btn|h|ppi
BLAT	36dahx|accoa|coa|h|nabl
BRFAPS	4abz|Brfap|co2|h|ppi|prpp
BTNt2i	btn|h
BTS3r	btn|dtbt|h2s|s
Biomass	3hdpgpe|3hdpgpg|3hdpgpi|3hdpgps|Biomass|accoa|adocblhbi|adp|ala-L|amp|arg-L|asn-L|asp-L|atp|coa|cob|com|ctp|cys-L|datp|dctp|dgtp|dpgpe|dpgpg|dpgpi|dpgps|dttp|f390a|f390g|f420-2|f420-3|f420-4|f420-5|f420-6|f420-7|f430|gdpgpi|gln-L|glu-L|gly|glycogen|gtp|h|h2o|h4spt|his-L|hspmd|ile-L|leu-L|lys-L|met-L|nad|nadh|nadp|nadph|phe-L|pi|ppi|pro-L|ptrc|ser-L|succoa|thf|thr-L|trp-L|tyr-L|utp|val-L
CA2abc	adp|atp|ca2|h|h2o|pi
CAT	h2o|h2o2|o2
CAt6	ca2|na1
CBIAT	adocbi|atp|cbi|h|pppi
CBIabc	adp|atp|cbi|h|h2o|pi
CBL1HBIabc	adp|atp|cbl1hbi|h|h2o|pi
CBL1abc	adp|atp|cbl1|h|h2o|pi
CBLAT2	adocblhbi|atp|cbl1hbi|h|pppi
CBLD	cbi|cbl1|unknown_cbl1deg
CBPS	adp|atp|cbp|gln-L|glu-L|h|h2o|hco3|pi
CD2abc1	adp|atp|cd2|h|h2o|pi
CD2abc2	adp|atp|cd2|h|h2o|pi
