Bc1	C00267_biomass_c|C00267_c
Bc10	C00065_biomass_c|C01650_c|C02553_c
Bc11	C00188_biomass_c|C01651_c|C02992_c
Bc12	C00073_biomass_c|C01647_c|C02430_c
Bc13	C00097_biomass_c|C01639_c|C03125_c
Bc14	C00183_biomass_c|C01653_c|C02554_c
Bc15	C00123_biomass_c|C01645_c|C02047_c
Bc16	C00407_biomass_c|C01644_c|C03127_c
Bc17	C00064_biomass_c|C01640_c|C02282_c
Bc18	C00062_biomass_c|C01636_c|C02163_c
Bc19	C00148_biomass_c|C01649_c|C02702_c
Bc2	C00089_biomass_c|C00089_c
Bc20	C00047_biomass_c|C01646_c|C01931_c
Bc21	C00135_biomass_c|C01643_c|C02988_c
Bc22	C00079_biomass_c|C01648_c|C03511_c
Bc23	C00082_biomass_c|C00787_c|C02839_c
Bc24	C00078_biomass_c|C01652_c|C03512_c
Bc25	C00152_biomass_c|C01637_c|C03402_c
Bc26	C02646_biomass_c|C02646_c
Bc27	C00590_biomass_c|C00590_c
Bc28	C02325_biomass_c|C02325_c
Bc29	C02336_biomass_c|C02336_c
Bc3	C00760_biomass_c|C00760_c
Bc30	C00249_biomass_c|C00249_c
Bc31	C00013_c|C00131_biomass_c|C00131_c
Bc32	C00013_c|C00286_biomass_c|C00286_c
Bc33	C00013_c|C00458_biomass_c|C00458_c
Bc34	C00013_c|C00459_biomass_c|C00459_c
Bc35	C00002_biomass_c|C00002_c|C00013_c
Bc36	C00013_c|C00044_biomass_c|C00044_c
Bc37	C00013_c|C00063_biomass_c|C00063_c
Bc38	C00013_c|C00075_biomass_c|C00075_c
Bc4	C00369_biomass_c|C00369_p
Bc5	C00181_biomass_c|C00181_c
Bc6	C00025_biomass_c|C01640_c|C06112_c
Bc7	C00041_biomass_c|C00886_c|C01635_c
Bc8	C00049_biomass_c|C01637_c|C06113_c
Bc9	C00037_biomass_c|C01642_c|C02412_c
Ex1	C00011_c|C00011_e
Ex10	C00065_c|C00065_e
Ex11	C00283_c|C00283_e
Ex12	C00059_c|C00059_e
Ex13	C00267_c|C00267_e
Ex14	C02336_c|C02336_e
Ex15	C00208_c|C00208_e
Ex16	hv_e|hv_p
Ex17	C00089_c|C00089_e
Ex18	C00009_c|C00009_e
Ex2	C00001_c|C00001_e
Ex3	C00007_c|C00007_e
Ex4	C00244_c|C00244_e
Ex5	C00014_c|C00014_e
Ex6	C00025_c|C00025_e
Ex7	C00064_c|C00064_e
Ex8	C00049_c|C00049_e
Ex9	C00041_c|C00041_e
R00004_c	C00001_c|C00009_c|C00013_c
R00006_c	C00011_c|C00022_c|C00900_c
R00009_x	C00001_x|C00007_x|C00027_x
R00010_c	C00001_c|C00031_c|C01083_c
R00014_c	C00011_c|C00022_c|C00068_c|C05125_c
R00021_p	C00025_p|C00026_p|C00064_p|C00138_p|C00139_p
